keithley_v(b2901_in=5.0),keithley_a(b2901_in=5.0),b2901_a(b2901_in=5.0),keithley_v(b2901_in=10.0),keithley_a(b2901_in=10.0),b2901_a(b2901_in=10.0),keithley_v(b2901_in=15.0),keithley_a(b2901_in=15.0),b2901_a(b2901_in=15.0),keithley_v(b2901_in=20.0),keithley_a(b2901_in=20.0),b2901_a(b2901_in=20.0)
-9.41,-3.079351e-09,7.8e-09,-9.41,-3.359449e-09,2.4848e-08,-9.41,-3.349054e-09,-2.3711e-08,-9.41,-3.336121e-09,-6.983e-09
-8.82,-1.223822e-09,2.371e-08,-8.82,-1.59722e-09,-6.784e-09,-8.82,-1.522985e-09,-1.1777e-08,-8.82,-1.55701e-09,-2.3945e-08
-8.23,-7.508387e-10,9.07e-09,-8.23,-1.034943e-09,2.2424e-08,-8.23,-9.336832e-10,1.5091e-08,-8.23,-9.79369e-10,-9.035e-09
-7.64,-5.967435e-10,-2.2835e-08,-7.64,-7.56974e-10,8.113e-09,-7.64,-6.256963e-10,2.0892e-08,-7.64,-6.698103e-10,2.1439e-08
-7.05,-4.577081e-10,1.13e-08,-7.05,-5.590183e-10,2.4012e-08,-7.05,-4.474654e-10,-1.7449e-08,-7.05,-4.635898e-10,9.729e-09
-6.46,-3.022949e-10,-2.4385e-08,-6.46,-4.333694e-10,-1.913e-09,-6.46,-2.986947e-10,-1.3357e-08,-6.46,-3.02751e-10,2.4943e-08
-5.87,-2.197457e-10,5.584e-09,-5.87,-2.840407e-10,-2.4309e-08,-5.87,-1.90387e-10,2.3104e-08,-5.87,-2.07272e-10,1.775e-09
-5.28,-1.343572e-10,1.9661e-08,-5.28,-1.746176e-10,4.016e-09,-5.28,-1.353206e-10,1.902e-09,-5.28,-1.094612e-10,-2.4153e-08
-4.69,-6.849371e-11,-1.7452e-08,-4.69,-1.323289e-10,2.2218e-08,-4.69,-4.050606e-11,2.4586e-08,-4.69,-3.533438e-11,7.893e-09
-4.1,-2.93008e-11,-1.7504e-08,-4.1,-4.603262e-11,-1.5224e-08,-4.1,-1.596621e-11,1.681e-09,-4.1,1.572288e-11,2.4157e-08
-3.51,3.255615e-11,1.5185e-08,-3.51,-3.426961e-11,-1.882e-08,-3.51,7.616026e-11,-2.3794e-08,-3.51,7.757971e-11,-6.334e-09
-2.92,2.237547e-10,2.0206e-08,-2.92,7.053204e-11,1.7779e-08,-2.92,1.277749e-10,-6.349e-09,-2.92,1.16367e-10,2.4154e-08
-2.33,2.215239e-10,-1.6774e-08,-2.33,7.813739e-11,1.8578e-08,-2.33,1.449123e-10,2.4222e-08,-2.33,1.668665e-10,4.707e-09
-1.74,2.110792e-10,-1.2598e-08,-1.74,9.426081e-11,-1.4568e-08,-1.74,1.719367e-10,-2.086e-09,-1.74,1.812658e-10,-2.305e-08
-1.15,2.301433e-10,2.3843e-08,-1.15,1.535825e-10,-1.9071e-08,-1.15,2.074792e-10,-2.1875e-08,-1.15,2.270505e-10,-7.939e-09
-0.56,1.840041e-10,-2.95e-10,-0.56,1.685398e-10,9.109e-09,-0.56,2.338441e-10,1.5815e-08,-0.56,2.412975e-10,2.2298e-08
0.03,2.141721e-10,-2.3669e-08,0.03,1.581965e-10,2.4567e-08,0.03,2.56914e-10,2.3982e-08,0.03,2.594997e-10,1.5294e-08
0.62,2.381543e-10,-1.471e-09,0.62,1.953106e-10,-6.984e-09,0.62,2.848001e-10,-1.3965e-08,0.62,2.92507e-10,-2.1603e-08
1.21,2.521481e-10,-2.4443e-08,1.21,2.377485e-10,2.4729e-08,1.21,3.169456e-10,-1.4459e-08,1.21,3.140555e-10,-6.893e-09
1.8,2.88502e-10,1.35e-09,1.8,2.515395e-10,-3.482e-09,1.8,3.387477e-10,2.3499e-08,1.8,3.367193e-10,2.4765e-08
2.39,2.877411e-10,2.4095e-08,2.39,2.8333e-10,-2.1234e-08,2.39,3.588257e-10,-1.88e-09,2.39,3.627804e-10,-1.0295e-08
2.98,3.138022e-10,-6.84e-09,2.98,3.005687e-10,1.8138e-08,2.98,3.775351e-10,-2.4303e-08,2.98,3.803233e-10,-2.1597e-08
3.57,3.395588e-10,2.4435e-08,3.57,3.212556e-10,3.907e-09,3.57,3.979174e-10,4.897e-09,3.57,3.753546e-10,1.8526e-08
4.16,3.762166e-10,-4.47e-09,4.16,3.439698e-10,-2.4267e-08,4.16,4.133304e-10,-2.1725e-08,4.16,3.968526e-10,9.623e-09
4.75,3.811351e-10,-2.1544e-08,4.75,3.666341e-10,1.3084e-08,4.75,4.319384e-10,1.6412e-08,4.75,4.0968e-10,-2.4293e-08
5.34,4.085143e-10,1.8845e-08,5.34,3.845318e-10,1.5423e-08,5.34,4.514082e-10,-2.0761e-08,5.34,4.335609e-10,1.0404e-08
5.93,4.203279e-10,1.309e-08,5.93,4.056749e-10,2.2017e-08,5.93,4.445633e-10,1.725e-08,5.93,4.47656e-10,2.2241e-08
6.52,4.390879e-10,-2.393e-08,6.52,4.346257e-10,5.344e-09,6.52,4.482142e-10,1.0659e-08,6.52,4.676837e-10,-1.3508e-08
7.11,4.69915e-10,4.089e-09,7.11,4.519153e-10,-2.4201e-08,7.11,4.784321e-10,-2.4216e-08,7.11,4.637793e-10,-1.2487e-08
7.7,4.844666e-10,2.193e-08,7.7,4.64591e-10,9.222e-09,7.7,4.505968e-10,3.3e-11,7.7,4.815257e-10,2.1897e-08
8.29,4.997278e-10,-1.1581e-08,8.29,4.761512e-10,2.4237e-08,8.29,4.54552e-10,-2.1875e-08,8.29,4.947587e-10,1.5852e-08
8.88,5.106794e-10,2.4408e-08,8.88,4.855311e-10,-3.191e-09,8.88,4.573908e-10,-1.1162e-08,8.88,4.924263e-10,-1.5123e-08
9.47,5.295916e-10,7.971e-09,9.47,4.989672e-10,-2.2744e-08,9.47,4.651485e-10,2.1669e-08,9.47,5.096142e-10,-1.9082e-08
10.06,5.458167e-10,-2.4247e-08,10.06,5.127079e-10,-1.2603e-08,10.06,4.875587e-10,1.2322e-08,10.06,5.173214e-10,-1.7636e-08
10.65,5.637648e-10,4.942e-09,10.65,5.286281e-10,2.1468e-08,10.65,5.086506e-10,-2.0849e-08,10.65,5.371455e-10,-1.4221e-08
11.24,5.67365e-10,2.4387e-08,11.24,5.418105e-10,1.5255e-08,11.24,5.074848e-10,-1.4774e-08,11.24,5.388188e-10,1.7471e-08
11.83,5.718772e-10,5.066e-09,11.83,5.568185e-10,-1.6177e-08,11.83,5.296926e-10,1.8019e-08,11.83,5.367401e-10,2.077e-08
12.42,5.913976e-10,2.2598e-08,12.42,5.671107e-10,-1.7555e-08,12.42,5.165605e-10,-2.0727e-08,12.42,5.532692e-10,-8.561e-09
13.01,6.187265e-10,8.8e-09,13.01,5.778599e-10,-9.707e-09,13.01,5.304023e-10,1.4423e-08,13.01,5.580351e-10,-2.3492e-08
13.6,6.371316e-10,-2.1851e-08,13.6,5.864796e-10,-2.3243e-08,13.6,5.301993e-10,2.1755e-08,13.6,5.690878e-10,5.307e-09
14.19,6.620259e-10,-1.0946e-08,14.19,6.031097e-10,-1.2634e-08,14.19,5.573254e-10,-9.146e-09,14.19,5.803947e-10,2.2891e-08
14.78,6.774905e-10,1.8366e-08,14.78,6.119825e-10,-2.2546e-08,14.78,5.755271e-10,-2.2938e-08,14.78,5.989522e-10,-1.1725e-08
15.37,6.585786e-10,1.5475e-08,15.37,6.245569e-10,-1.6715e-08,15.37,5.779612e-10,5.542e-09,15.37,6.035659e-10,2.4282e-08
15.96,6.689215e-10,1.6973e-08,15.96,6.417452e-10,1.8287e-08,15.96,5.970757e-10,2.4353e-08,15.96,6.276998e-10,-6.927e-09
16.55,7.059343e-10,1.9352e-08,16.55,6.410858e-10,-2.2653e-08,16.55,6.026528e-10,-8.842e-09,16.55,6.179146e-10,-2.4086e-08
17.14,7.061879e-10,-9.206e-09,17.14,6.648652e-10,5.583e-09,17.14,6.186751e-10,-2.3518e-08,17.14,6.247088e-10,4.066e-09
17.73,7.523778e-10,-2.43e-08,17.73,6.842844e-10,-1.996e-08,17.73,6.315031e-10,8.625e-09,17.73,6.403246e-10,2.4748e-08
18.32,7.232238e-10,-6.055e-09,18.32,6.956415e-10,-2.128e-08,18.32,6.44635e-10,2.3739e-08,18.32,6.552823e-10,-5.449e-09
18.91,6.991914e-10,1.99e-08,18.91,6.95895e-10,-9.251e-09,18.91,6.476771e-10,-1.171e-09,18.91,6.523921e-10,2.4252e-08
19.5,6.923461e-10,1.5755e-08,19.5,7.282431e-10,-2.3338e-08,19.5,6.702393e-10,-2.211e-08,19.5,6.79417e-10,-1.0758e-08
